活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【11月12月 · 周末四期】长江三峡之巅，白帝城之畔，赏红叶盛宴,-,-,-,-,628.0元/人,-,-,7km,4小时
【11.9/10 · 两日轻装】南太行之秋，精华段路线,11月09日,11月09日,11月09日,-,458.0元/人,1000m,-,25km,-
【11.9 · 中级】【新弱勿报】翠屏湖三峪秋穿,11月09日,11月09日,11月09日,7:00 海淀五路居-A西北口 | 7:25 芍药居-E西北口,108.0元/人,800m,-,20km,5小时
【11.9/10 · 金秋婺源】五彩篁岭晒丰收，石城长溪枫满红,11月09日,11月09日,11月09日,-,528.0元/人,200m,-,12km,-
【11.9 · 初级休闲】红花峪赏秋，水库风光,11月09日,11月09日,11月09日,8:20 芍药居-E西北口 | 7:50 海淀五路居-A西北口,108.0元/人,300m,-,9km,4小时
【11.9 · 初级】秋韵谷积山，探塔寻寺,11月09日,11月09日,11月09日,8:20 海淀五路居-A西北口 | 7:50 芍药居-E西北口,108.0元/人,500m,-,14km,3小时
【11.10 · 初级】舞彩浅山，秋色如画,11月10日,11月10日,11月10日,7:45 芍药居-E西北口 | 7:20 海淀五路居-A西北口,108.0元/人,500m,-,10km,4小时
【11.10 · 初级】望宝川-银山塔林赏秋,11月10日,11月10日,11月10日,8:20 芍药居-E西北口 | 7:50 海淀五路居-A西北口,108.0元/人,400m,400m,9km,3小时
【11.10 · 初级】崇化寺-广化寺-林美小道，寻银杏泛黄,11月10日,11月10日,11月10日,8:00 芍药居-E西北口 | 8:30 海淀五路居-A西北口,108.0元/人,600m,-,12km,3小时
【11.10 · 初级休闲】湖光山色，秋韵金海湖,11月10日,11月10日,11月10日,8:20 芍药居-E西北口 | 7:50 海淀五路居-A西北口,108.0元/人,350m,-,8km,4小时
【11.10 · 初级】漫山红遍，药王谷-坡峰岭穿越,11月10日,11月10日,11月10日,7:25 海淀五路居-A西北口 | 7:00 芍药居-E西北口,108.0元/人,700m,-,10km,4小时
【11.12 · 周二】东灵山，极致2303米,11月12日,11月12日,11月12日,7:00 芍药居-E西北口 | 7:30 海淀五路居-A西北口,118.0元/人,900m,-,10km,6小时
【11.13 · 周三】红花峪赏红叶，水库风光,11月13日,11月13日,11月13日,8:10 芍药居-E西北口 | 7:30 海淀五路居-A西北口,108.0元/人,300m,-,9km,4小时
【11.14 · 周四】轻徒山野间，魔幻白瀑寺,11月14日,11月14日,11月14日,7:20 海淀五路居-A西北口,108.0元/人,300m,600m,12km,3小时
【11.15晚-11.17 · 五台山】【中级强度】风雪大五朝台，转山转佛,11月15日-11月17日,11月15日,11月17日,19:00 芍药居-E西北口,598.0元/人,-,-,-,-
【11.16/17~11.23/24 · 婺源】篁岭晒秋，道教三清山,11月16日 11月23日,11月16日,11月16日,-,558.0元/人,600m,-,14km,-
